Date,Station,Value,lat,lng
2023-04-20,010 WEDDING,11,52.54291,13.34926
2023-04-21,010 WEDDING,10,52.54291,13.34926
2023-04-22,010 WEDDING,15,52.54291,13.34926
2023-04-23,010 WEDDING,14,52.54291,13.34926
2023-04-24,010 WEDDING,12,52.54291,13.34926
2023-04-25,010 WEDDING,22,52.54291,13.34926
2023-04-26,010 WEDDING,26,52.54291,13.34926
2023-04-27,010 WEDDING,30,52.54291,13.34926
2023-04-28,010 WEDDING,26,52.54291,13.34926
2023-04-29,010 WEDDING,12,52.54291,13.34926
2023-04-30,010 WEDDING,11,52.54291,13.34926
2023-05-01,010 WEDDING,18,52.54291,13.34926
2023-05-02,010 WEDDING,18,52.54291,13.34926
2023-05-03,010 WEDDING,14,52.54291,13.34926
2023-05-04,010 WEDDING,16,52.54291,13.34926
2023-05-05,010 WEDDING,7,52.54291,13.34926
2023-05-06,010 WEDDING,7,52.54291,13.34926
2023-05-07,010 WEDDING,5,52.54291,13.34926
2023-05-08,010 WEDDING,11,52.54291,13.34926
2023-05-09,010 WEDDING,12,52.54291,13.34926
2023-05-10,010 WEDDING,17,52.54291,13.34926
2023-05-11,010 WEDDING,19,52.54291,13.34926
2023-05-12,010 WEDDING,11,52.54291,13.34926
2023-05-13,010 WEDDING,10,52.54291,13.34926
2023-05-14,010 WEDDING,15,52.54291,13.34926
2023-05-15,010 WEDDING,23,52.54291,13.34926
2023-05-16,010 WEDDING,10,52.54291,13.34926
2023-05-17,010 WEDDING,8,52.54291,13.34926
2023-05-18,010 WEDDING,7,52.54291,13.34926
2023-05-19,010 WEDDING,10,52.54291,13.34926
2023-05-20,010 WEDDING,7,52.54291,13.34926
2023-05-21,010 WEDDING,8,52.54291,13.34926
2023-05-22,010 WEDDING,10,52.54291,13.34926
2023-05-23,010 WEDDING,16,52.54291,13.34926
2023-05-24,010 WEDDING,19,52.54291,13.34926
2023-05-25,010 WEDDING,18,52.54291,13.34926
2023-05-26,010 WEDDING,10,52.54291,13.34926
2023-05-27,010 WEDDING,9,52.54291,13.34926
2023-05-28,010 WEDDING,11,52.54291,13.34926
2023-05-29,010 WEDDING,5,52.54291,13.34926
2023-05-30,010 WEDDING,11,52.54291,13.34926
2023-05-31,010 WEDDING,17,52.54291,13.34926
2023-06-01,010 WEDDING,13,52.54291,13.34926
2023-06-02,010 WEDDING,10,52.54291,13.34926
2023-06-03,010 WEDDING,7,52.54291,13.34926
2023-06-04,010 WEDDING,8,52.54291,13.34926
2023-06-05,010 WEDDING,10,52.54291,13.34926
2023-06-06,010 WEDDING,13,52.54291,13.34926
2023-06-07,010 WEDDING,7,52.54291,13.34926
2023-06-08,010 WEDDING,8,52.54291,13.34926
2023-06-09,010 WEDDING,7,52.54291,13.34926
2023-06-10,010 WEDDING,7,52.54291,13.34926
2023-06-11,010 WEDDING,6,52.54291,13.34926
2023-06-12,010 WEDDING,8,52.54291,13.34926
2023-06-13,010 WEDDING,7,52.54291,13.34926
2023-06-14,010 WEDDING,8,52.54291,13.34926
2023-06-15,010 WEDDING,10,52.54291,13.34926
2023-06-16,010 WEDDING,13,52.54291,13.34926
2023-06-17,010 WEDDING,14,52.54291,13.34926
2023-06-18,010 WEDDING,16,52.54291,13.34926
2023-06-19,010 WEDDING,21,52.54291,13.34926
2023-06-20,010 WEDDING,19,52.54291,13.34926
2023-06-21,010 WEDDING,19,52.54291,13.34926
2023-06-22,010 WEDDING,10,52.54291,13.34926
2023-06-23,010 WEDDING,12,52.54291,13.34926
2023-06-24,010 WEDDING,18,52.54291,13.34926
2023-06-25,010 WEDDING,19,52.54291,13.34926
2023-06-26,010 WEDDING,20,52.54291,13.34926
2023-06-27,010 WEDDING,22,52.54291,13.34926
2023-06-28,010 WEDDING,16,52.54291,13.34926
2023-06-29,010 WEDDING,23,52.54291,13.34926
2023-06-30,010 WEDDING,16,52.54291,13.34926
2023-07-01,010 WEDDING,9,52.54291,13.34926
2023-07-02,010 WEDDING,8,52.54291,13.34926
2023-07-03,010 WEDDING,14,52.54291,13.34926
2023-07-04,010 WEDDING,12,52.54291,13.34926
2023-07-05,010 WEDDING,12,52.54291,13.34926
2023-07-06,010 WEDDING,18,52.54291,13.34926
2023-07-07,010 WEDDING,22,52.54291,13.34926
2023-07-08,010 WEDDING,11,52.54291,13.34926
